,Early,Middle,Late,Early.1,Middle.1,Late.1,Early.2,Middle.2,Late.2,Early.3,Middle.3,Late.3,Early.4,Middle.4,Late.4,MaxValue
Early Prog lead,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Tech Assmt HF,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Tech Assmt Lead,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Tech Assmt Feasibility,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Tech Asses Modeling/Simulation,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Other DPAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTEL,0.0,0.0,0.1,0.4,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.1,0.0,0.0,0.8
DST Lead,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2
Design,0.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Molding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assembly,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.4
Dev Clin Pkg,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Characterization,0.0,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4
DV lead,0.0,0.0,0.0,0.2,0.4,0.6,0.8,1.0,0.8,0.6,0.4,0.2,0.0,0.0,0.0,1.0
Method Dev & Test,0.0,0.2,0.0,0.6,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.2,0.0,0.0,0.0,1.0
CCI,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1
Other DPPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HF,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.5
Design Controls,0.0,0.0,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.5
Dev Risk Mgmt,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.2,0.1,0.1,0.5
Data Mgmt,0.0,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.1,0.1,0.5
Other SHF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dev ExM Tech Ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dev Tech Int,0.0,0.0,0.0,0.0,0.1,0.2,1.5,1.5,1.5,2.0,2.0,2.0,3.0,3.0,3.0,3.0
Dev Prod Steward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glass Crit Comp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other DTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
